reference,abstract
"Stéphane Le Gars. L'émergence de l'astronomie physique en France (1860-1914) : acteurs et pratiques. Histoire. Université de Nantes, 2007. Français. ⟨NNT : ⟩. ⟨tel-00405048⟩","Au cours du XIXème siècle, l'astronomie voit ses méthodes et ses objets d'étude considérablement évoluer : à côté d'une astronomie dite de position, c'est-à-dire qui ne s'intéresse qu'à la position des objets célestes dans le ciel, émerge et s'affirme une astronomie dite physique, qui aboutira plus tard à l'astrophysique. Ainsi, notre thèse a visé à analyser les liens entre les sciences physiques et l'astronomie qui ont permis l'apparition d'un nouveau champ du savoir, dans la perspective de mettre en relief les spécificités françaises de cette discipline émergente qu' a été l'astronomie physique. Notre travail a consisté à identifier les savants et les réseaux impliqués, à caractériser les cultures qui les portent, mais aussi à étudier les transferts de savoirs et de savoir-faire entre physiciens et astronomes, ceci en précisant dans quel contexte scientifique ces recherches ont eu lieu. Nous avons ainsi pu montrer que, loin de s'exercer sur un modèle unique, l'astronomie physique française entre 1860 et 1914 a montré une diversité dans ses approches, une pluralité des lieux de sa construction, une multiplicité des acteurs et des cultures qui les animent, ceci au risque d'un éclatement et d'une hétérogénéité des pratiques. En effet, si l'astronomie physique française s'est vue progressivement investie par un groupe de physiciens bien identifié, et non par des astronomes, nous avons pu mettre en évidence qu'à la veille de la grande guerre, il n'existe pas de communauté réellement constituée autour d'un programme cohérent et concerté d'astronomie physique. De nombreuses recherches ont été menées, mais sur un mode dispersé que nous avons cherché à caractériser."
"Juliette Grange. Le rôle social des sciences : l'astronomie dans l'histoire de la modernité.. Auguste Comte et le rôle social des sciences. L'exemple de l'astronomie., Oct 2007, PARIS, France. pp.85-100. ⟨halshs-00985532⟩","L'article revient sur la philosophie contienne des sciences. Le positivisme n'est pas un empirisme. Aucun fait n'a de sens s'il est examiné isolément, indépendamment d'un champ théorique, de la vérification d'une hypothèse, d'un procédé expérimental, d'un détour par l'abstraction. Puis il s'attache aux leçons du Cours de philosophie positive sur l'astronomie, où l'on trouve les bases épistémologiques de la discipline du XVIIe jusqu'au XIXe siècle. Selon Comte, si la rupture d'avec le concret s'est faite en effet dans l'esprit et les écrits d'un très petit nombre de mathématiciens de l'Antiquité, elle se poursuit avec l'astronomie qui n'est plus une science d'observation. L'astronomie moderne aura donc un rôle social majeur dans la mesure où elle arrache collectivement, et dans l'esprit de Comte définitivement, les hommes aux attitudes mentales héritées des religions, à l'esprit théologique. La leçon d'Auguste Comte est essentiellement l'attachement à la diffusion des connaissances scientifiques qui ne doit plus seulement viser l'élite bourgeoise ou intellectuelle, mais l'ensemble de la société. La philosophie ici joue un rôle central pour penser la vulgarisation autrement que comme une simplification déformante."
"Camille Rodic. Compte-rendu de lecture de : 'Le Soleil de Ponge: rassembler les éclats d’un astre en fusion' (Thomas Schestag, Le Soleil / Die Sonne, Berlin : Matthes &amp; Seitz Berlin, 2020, 883 p., EAN 9783957577757.). 2021. ⟨hal-03594814⟩","En juin 1960, Francis Ponge vend le dossier du Soleil à la Bibliothèque Jacques Doucet à Paris. Le dossier rassemble près de six-cent soixante-dix feuillets classés en vingt-trois liasses, qui s’étalent sur plus de trente ans : des tous premiers écrits sur le soleil en 1920, à l’aboutissement du projet du livre en 1954, c’est-à-dire la publication du Soleil placé en abîme dans une édition de luxe pour la collection « Droséra », enrichie de sept eaux-fortes de Jacques Hérold. L’ouvrage Le Soleil / Die Sonne est particulièrement ambitieux car s’y trouvent rassemblés par Thomas Schestag une quantité remarquable de documents, provenant de sources diverses et réunis pour la première fois en un même volume — à savoir le dossier principal du Soleil conservé à Doucet, le Cahier Nuage de sang et plusieurs pages inédites tirées des archives familiales. C’est avec bonheur que le lecteur pourra parcourir les fac-similés en couleur des très nombreux manuscrits, tapuscrits, lettres ou encore photographies, que Th. Schestag accompagne non seulement de transcriptions, mais aussi de commentaires philologiques et de traductions inédites en allemand. Le livre s’achève sur le texte français du Soleil placé en abîme, accompagné d’une nouvelle traduction intégrale en allemand. Ce parcours, des premiers écrits sur le Soleil à l’œuvre finale, ne doit pas induire le lecteur en erreur : l’édition n’entend pas réduire le dossier du Soleil à un fonds de notes ayant abouti au livre de 1954. Ce que met au jour Th. Schestag, c’est moins le processus génétique dont émerge le Soleil placé en abîme1, que la complémentarité et la richesse des différents états du Soleil, compris comme autant d’éclats excédant le texte final."
"Georgios Dimitrakopoulos. Le visage du Soleil dans la pensée grecque ancienne. Littératures. Université Nancy 2, 2005. Français. ⟨NNT : 2005NAN21012⟩. ⟨tel-01776232⟩","La thèse se compose trois parties (occupant 398 p.) : I - Le soleil comme phénomène naturel : L'observation du ciel a d'abord provoqué chez les Grecs anciens l'éveil de sentiments religieux et philosophiques, avec le principe de reconnaissance entre macrocosme et microcosme. Se dégageant progressivement de l'astrologie, l'astronomie s'est développée à travers la philosophie et enfin par l'étude scientifique du mouvement de corps célestes. II - Le soleil dans la vie des hommes : En harmonie avec les principes de la première partie, on étudie les aspects religieux (le Soleil comme divinité, en tant que figure propre - le visage du Soleil, les cultures solaires), les manifestations du Soleil dans la vie quotidienne (calendrier, les effets météorologiques, l'astronomie apotélesmatique, l'astrologie). III - Le soleil dans les représentations des hommes (littérature - arts) : C'est un panorama des différents aspects du Soleil dans la civilisation et la culture grecques antiques qui est ainsi présenté, avec ses fondements proprement helléniques."
"Camille Rodic. 'Faire tourner le soleil dans la métaphore' : la pratique de la métaphore dans les manuscrits du Soleil placé en abîme. Cahiers Francis Ponge, n°3, L'écrivain, l'artiste et leurs gestes, 2020. ⟨hal-03168356⟩","À partir d’une étude des manuscrits du Soleil placé en abîme, cet article revient sur la pratique de la métaphore chez Francis Ponge. Si au fur et à mesure de la genèse de son œuvre, l’écrivain cherche à circonscrire le soleil par la métaphore, il fait face à une double tyrannie : celle du soleil et celle de l’image. Puisqu’il ne peut échapper ni à l’une, ni à l’autre, il lui faut posséder le soleil à l’intérieur de son propre système, et parasiter la toute-puissance des métaphores… par la métaphore."
"Ivan Jovanovic. Soleil et lune dans la parémiologie française et serbe. Revue du CEES : Centre européen d'études slaves, 2019, Le français à la rencontre avec les autres langues : Approches linguistiques, littéraires et culturelles. Langues en contact, 7. ⟨hal-03294496⟩","Dans le présent article, nous nous proposons d’analyser les parémies françaises et serbes avec les lexèmes soleil et lune afin de mettre en évidence toutes les ressemblances et les différences qui apparaissent sur les plans sémantique et culturel. À la lumière de la théorie des champs sémantiques de Kleiber et du modèle linguistique et culturel de Wierzbicka, les parémies sont répertoriées en deux sous-champs : a) les parémies qui renvoient au soleil (le lever du soleil, le coucher du soleil, les couleurs du soleil, la luminosité du soleil) et b) les parémies référant à la lune (la première phase de la lune, la deuxième phase de la lune, la troisième phase de la lune, la quatrième phase de la lune, les couleurs de la lune, les décors de la lune). La raison pour laquelle nous nous sommes décidé de choisir ces deux lexèmes repose sur les faits que le soleil et la lune sont essentiels à l’homme, qu’ils lui assurent la survie, la source d’enseignement et de richesse et c’est pourquoi un grand nombre de parémies leur est consacré beaucoup plus en français qu’en serbe. Ainsi, notre analyse démontre que les parémies, à part leur sens dénotatif, sont pourvues d’un sens connotatif productif en français tandis qu’en serbe il n’y a pas beaucoup d’exemples qui en témoignent. Autrement dit, les parémies se rapportent figurément aux différents aspects de la vie de l’homme, à ses traits de caractère, à ses états psychologiques, à sa position matérielle sur l’échelle sociale ainsi qu’à sa descendance. Pour ce qui est du corpus, les parémies sont tirées de dictionnaires parémiologiques français et serbes : Montreynaud 2006 ; Maloux 2006 ; G. Cosson 2010 ; Караџић 1985 ; Вуковић 2004 ; Рајковић 1876."
"Pauline Khalifa. Les éditions Le Soleil Noir à l’ombre du surréalisme (1950-1982). Comparative Studies in Modernism , 2025, 27, ⟨10.13135/2281-6658/13096⟩. ⟨hal-05439867⟩","Fondées par François Di Dio, les éditions Le Soleil Noir (1950-1982) publièrent les œuvres de nombreux écrivains de la seconde vague du Surréalisme (notamment Duprey, Rodanski, Mansour, Tarnaud, Sebbag) aux côtés d’artistes tout aussi proches du Surréalisme (Baj, Tovar, Giovanna, Toyen, Bellmer…). Mobilisant une partie de son heuristique, Le Soleil Noir est l’un des héritiers du Surréalisme, mais, curieusement, il ne s’en réclama jamais. Comme le Surréalisme, son aventure fut sincère et collective : ce furent les livres-objets, fruits de la collaboration entre un écrivain et un artiste, qui réalisèrent cette co-création désirée par l’éditeur."
"Ivan Jovanovic. Soleil et lune dans la parémiologie française et serbe. Revue du CEES : Centre européen d'études slaves, 2019, Le français à la rencontre avec les autres langues : Approches linguistiques, littéraires et culturelles. Langues en contact, 7. ⟨hal-03294496⟩","Dans le présent article, nous nous proposons d’analyser les parémies françaises et serbes avec les lexèmes soleil et lune afin de mettre en évidence toutes les ressemblances et les différences qui apparaissent sur les plans sémantique et culturel. À la lumière de la théorie des champs sémantiques de Kleiber et du modèle linguistique et culturel de Wierzbicka, les parémies sont répertoriées en deux sous-champs : a) les parémies qui renvoient au soleil (le lever du soleil, le coucher du soleil, les couleurs du soleil, la luminosité du soleil) et b) les parémies référant à la lune (la première phase de la lune, la deuxième phase de la lune, la troisième phase de la lune, la quatrième phase de la lune, les couleurs de la lune, les décors de la lune). La raison pour laquelle nous nous sommes décidé de choisir ces deux lexèmes repose sur les faits que le soleil et la lune sont essentiels à l’homme, qu’ils lui assurent la survie, la source d’enseignement et de richesse et c’est pourquoi un grand nombre de parémies leur est consacré beaucoup plus en français qu’en serbe. Ainsi, notre analyse démontre que les parémies, à part leur sens dénotatif, sont pourvues d’un sens connotatif productif en français tandis qu’en serbe il n’y a pas beaucoup d’exemples qui en témoignent. Autrement dit, les parémies se rapportent figurément aux différents aspects de la vie de l’homme, à ses traits de caractère, à ses états psychologiques, à sa position matérielle sur l’échelle sociale ainsi qu’à sa descendance. Pour ce qui est du corpus, les parémies sont tirées de dictionnaires parémiologiques français et serbes : Montreynaud 2006 ; Maloux 2006 ; G. Cosson 2010 ; Караџић 1985 ; Вуковић 2004 ; Рајковић 1876."
"Vincent d'Orlando. Réflexions autour d'un astricide : Marinetti, poète mal luné. Chroniques italiennes (Imprimé), 1996, Mélanges offerts à Mario Fusco, 47-48, pp.141-153. ⟨hal-02292060⟩","En septembre 1995 était réédité chez Mondadori un ouvrage de Giovanni Macchia dont le titre, La caduta della luna, aurait certainement ravi Marinetti, le pourfendeur véhément d'un certain imaginaire lunaire hérité d'une longue tradition poétique. Notre propos n'est pas de retracer ici les étapes glorieuses du chant à la lune, de Virgile à Leopardi, mais plutôt de montrer comment la volonté futuriste d'""éteindre la lune"" participe d'une stratégie d'envahissement de l'espace cosmique et de destruction des symboles poétiques qui trouve dans notre satellite sa cible privilégiée."
"Francis Fer. Quelques remarques sur les systèmes thermodynamiques de Boltzmann et les invariants adiabatiques. Journal de Physique et le Radium, 1962, 23 (12), pp.973-978. ⟨10.1051/jphysrad:019620023012097300⟩. ⟨jpa-00236739⟩","Il existe deux sortes de démonstrations de l'invariance adiabatique, l'une relevant de la Mécanique rationnelle, l'autre de la Thermodynamique et passant par la formule de Boltzmann. L'identité, pourtant nécessaire, des deux méthodes, n'apparaît pas toujours très clairement, et la présente note a pour objet de préciser les hypothèses physiques qui sont à la base de l'une et de l'autre et d'en faire ainsi ressortir le lien."
